Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Arnaud Bodart,BEL,Lille,French Ligue 1,GK,Goalkeeper,27,180,3.0,1.5,1.5,2.05,0.55,0.0,5.0,11.0,35.0,4.5,1068.9,3.5,117.0,6.0,0.5,2.0,43.5,1,50.0,45.45,8.33,34.17
Augusto Batalla,ARG,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,29,2250,3.56,1.16,2.4,1.17,0.01,0.32,5.92,15.64,32.92,3.8,1260.7,3.8,174.88,12.68,0.64,1.2,23.98,1,67.42,37.85,5.05,22.16
Baboucarr Gaye,GAM,Shkëndija 79,UEFA Europa Conference League,GK,Goalkeeper,27,630,3.0,0.71,2.29,0.74,0.03,0.43,4.71,15.29,23.14,3.14,860.9,8.29,379.39,16.29,0.43,0.14,2.09,1,76.33,30.8,2.64,18.83
Bart Verbruggen,NED,Brighton,English Premier League,GK,Goalkeeper,23,1890,4.05,1.33,2.81,1.38,0.04,0.24,2.71,10.33,41.14,4.38,1175.29,2.81,121.54,12.57,0.62,1.24,20.47,1,69.38,26.23,4.93,23.64
Bartosz Mrozek,POL,Lech Poznań,UEFA Europa Conference League,GK,Goalkeeper,25,540,3.83,1.33,2.5,1.07,-0.27,0.17,2.5,7.17,25.83,4.5,649.33,6.5,240.33,18.83,0.0,1.0,19.87,1,65.27,34.87,0.0,18.24
Bartłomiej Drągowski,POL,Panathinaikos,UEFA Europa League,GK,Goalkeeper,28,180,5.0,2.0,3.0,2.0,0.0,0.0,5.5,17.0,32.5,5.5,1322.75,4.0,223.45,11.0,0.5,0.0,0.0,1,60.0,32.35,4.55,24.0
Berke Özer,TUR,Lille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,25,1890,3.76,1.24,2.38,1.56,0.32,0.33,3.86,10.9,34.29,2.86,1013.51,3.71,148.1,13.05,0.43,1.19,20.2,1,63.3,35.41,3.3,26.26
Bernd Leno,GER,Fulham,English Premier League,GK,Goalkeeper,33,1890,3.86,1.43,2.52,1.27,-0.16,0.24,3.19,11.76,34.81,4.33,1031.03,5.62,245.5,13.95,0.67,0.67,10.45,1,65.28,27.13,4.8,21.48
Bingourou Kamara,SEN,Lorient,French Ligue 1,GK,Goalkeeper,28,270,5.0,2.67,2.33,1.6,-1.07,0.33,4.0,7.33,21.67,2.33,649.63,3.0,93.1,9.0,0.67,1.67,37.0,1,46.6,54.57,7.44,14.91
Brice Samba,FRA,Rennes,French Ligue 1,GK,Goalkeeper,31,1530,4.29,1.41,2.82,1.4,-0.01,0.29,3.59,11.59,35.82,4.18,1121.27,5.88,181.21,14.76,0.65,1.47,32.46,1,65.73,30.97,4.4,21.45
Caoimhín Kelleher,IRL,Brentford,English Premier League,GK,Goalkeeper,27,1890,4.0,1.33,2.62,1.22,-0.11,0.24,6.05,16.38,33.43,4.76,1138.6,4.76,271.75,15.33,0.86,1.1,18.78,1,65.5,36.94,5.61,19.98
Christian Zawieschitzky,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,18,90,2.0,0.0,2.0,0.2,0.2,1.0,3.0,11.0,32.0,2.0,979.2,3.0,41.1,19.0,0.0,0.0,0.0,1,100.0,27.27,0.0,10.0
Dani van den Heuvel,NED,Club Brugge,UEFA Champions League,GK,Goalkeeper,22,90,10.0,3.0,7.0,3.5,0.5,0.0,6.0,10.0,31.0,5.0,985.8,5.0,197.0,19.0,1.0,0.0,0.0,1,70.0,60.0,5.26,24.5
Daniel Batz,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,34,540,5.0,1.0,4.17,2.02,1.02,0.33,5.67,17.83,29.33,2.67,1072.0,4.67,259.3,14.33,0.83,1.0,20.53,1,83.4,31.8,5.79,33.69
Daniel Heuer Fernandes,POR,Hamburger SV,German Bundesliga,GK,Goalkeeper,33,1440,4.88,1.69,3.12,1.61,-0.08,0.19,5.38,15.81,48.31,2.62,1433.12,4.94,209.98,13.75,0.5,1.31,23.4,1,63.93,34.03,3.64,21.09
Daniele Padelli,ITA,Udinese,Italian Serie A,GK,Goalkeeper,40,180,2.0,1.0,1.5,0.7,-0.3,0.0,1.5,11.0,31.5,4.0,931.7,4.0,197.6,14.0,0.0,1.5,29.4,1,75.0,13.64,0.0,26.25
Daniele Sommariva,ITA,Genoa,Italian Serie A,GK,Goalkeeper,28,176,6.14,2.05,4.09,1.84,-0.2,0.0,11.76,30.68,39.38,0.51,1670.73,7.16,405.66,18.41,0.0,1.02,15.95,1,66.61,38.33,0.0,19.96
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,30,2430,2.3,0.56,1.74,0.54,-0.01,0.56,4.81,14.59,32.63,4.81,1113.93,3.63,183.44,9.52,0.96,1.74,38.61,1,75.65,32.97,10.08,17.76
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,32,1710,4.47,1.32,3.26,1.15,-0.16,0.21,9.21,24.89,24.11,1.47,1201.52,6.79,406.97,11.37,0.26,1.53,32.94,1,72.93,37.0,2.29,18.76
David de Gea,ESP,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,35,2160,4.42,1.38,3.0,1.31,-0.07,0.21,4.29,12.5,27.42,3.75,925.16,5.38,214.9,13.25,0.38,0.83,15.49,1,67.87,34.32,2.87,20.12
Dean Henderson,ENG,Crystal Palace,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,28,2250,3.68,1.08,2.6,1.2,0.12,0.36,4.56,17.08,26.04,3.96,1011.68,6.88,346.54,13.92,0.48,0.8,15.01,1,70.65,26.7,3.45,23.04
Diant Ramaj,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,24,1440,5.56,2.25,3.31,2.22,-0.02,0.0,8.56,22.56,46.75,4.5,1809.9,6.81,345.3,15.38,1.38,1.5,22.55,1,59.53,37.94,8.97,23.77
Dimitar Mitov,BUL,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,28,540,5.0,2.33,2.5,1.87,-0.47,0.17,4.33,17.5,27.17,3.83,1040.82,4.67,266.93,14.5,1.17,0.5,7.47,1,50.0,24.74,8.07,18.7
Diogo Costa,POR,Porto,UEFA Europa League,GK,Goalkeeper,26,540,2.17,0.83,1.5,0.52,-0.32,0.33,3.5,8.5,34.0,5.33,896.55,4.17,131.92,8.33,0.33,1.67,29.32,1,69.12,41.18,3.96,16.56
Dmytro Riznyk,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,26,180,2.5,1.0,1.5,1.0,0.0,0.5,1.5,6.5,27.5,2.0,770.3,3.0,62.1,9.5,1.5,2.5,52.5,1,60.0,23.08,15.79,24.0
Dominik Greif,SVK,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,28,1530,3.53,0.94,2.47,1.07,0.13,0.53,3.18,8.59,35.12,3.65,948.01,2.94,117.49,11.53,0.76,1.76,31.92,1,69.97,37.02,6.59,21.21
Dominik Kotarski,CRO,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,25,540,5.0,2.67,2.5,1.9,-0.77,0.0,5.5,14.33,25.0,3.0,912.73,6.0,296.22,11.17,0.0,1.67,29.18,1,50.0,38.38,0.0,19.0
Dominik Takáč,SVK,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,26,450,6.2,1.8,4.6,1.7,-0.1,0.0,3.8,12.2,26.4,3.8,876.66,6.8,230.98,13.6,0.4,1.6,30.16,1,74.19,31.15,2.94,20.34
Donovan Léon,GUF,Auxerre,French Ligue 1,GK,Goalkeeper,33,1304,4.62,1.59,3.11,1.5,-0.09,0.21,5.38,16.77,25.88,4.0,1049.91,5.66,320.49,11.53,0.41,1.1,20.26,1,67.32,32.08,3.56,21.86
Dávid Gróf,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,36,90,2.0,1.0,1.0,1.4,0.4,0.0,5.0,9.0,25.0,2.0,802.5,1.0,66.0,9.0,0.0,0.0,0.0,1,50.0,55.56,0.0,35.0
Dénes Dibusz,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,35,450,3.6,1.0,2.6,0.72,-0.28,0.2,7.6,16.8,24.8,3.4,913.94,6.8,347.82,18.0,0.6,0.6,8.72,1,72.22,45.24,3.33,14.44
Ed McGinty,IRL,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,GK,Goalkeeper,26,540,5.5,2.17,3.33,2.17,0.0,0.0,4.17,14.0,17.17,2.67,696.22,8.5,404.17,13.83,0.33,0.33,5.17,1,60.55,29.79,2.39,23.89
Ederson,BRA,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,32,540,2.83,0.83,2.0,0.83,0.0,0.5,6.0,15.67,34.33,3.67,1214.05,6.33,276.68,13.33,1.17,1.67,39.02,1,70.67,38.29,8.78,20.73
Edoardo Corvi,ITA,Parma,Italian Serie A,GK,Goalkeeper,24,720,3.62,1.0,2.62,1.08,0.08,0.25,4.0,11.5,31.5,6.25,948.88,6.25,230.6,21.75,1.0,1.5,24.99,1,72.38,34.78,4.6,21.59
Elia Caprile,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,24,1800,5.2,1.5,3.7,1.66,0.16,0.15,4.7,13.2,26.65,4.45,954.82,5.85,221.69,13.45,1.5,1.0,19.14,1,71.15,35.61,11.15,22.71
Elías Rafn Ólafsson,ISL,Midtjylland,UEFA Europa League,GK,Goalkeeper,25,540,4.83,0.83,4.0,1.05,0.22,0.5,5.33,14.5,35.67,8.0,1176.28,5.83,249.3,14.5,1.17,1.33,23.83,1,82.82,36.76,8.07,18.0
Emil Audero,IDN,Cremonese,Italian Serie A,GK,Goalkeeper,28,1440,5.5,1.31,4.19,1.31,0.0,0.31,5.25,20.56,40.75,5.56,1437.16,6.0,307.02,16.62,1.44,0.62,8.8,1,76.18,25.54,8.66,18.15
Emiliano Martínez,ARG,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1755,3.64,0.97,2.62,1.03,0.05,0.26,4.67,12.72,38.62,3.9,1172.57,3.18,144.25,12.51,1.33,0.77,14.36,1,71.98,36.71,10.63,20.37
Etrit Berisha,ALB,Häcken,UEFA Europa Conference League,GK,Goalkeeper,36,450,4.0,1.4,2.8,1.26,-0.14,0.2,4.2,10.8,32.0,4.6,939.46,3.4,172.48,8.6,0.8,2.0,38.36,1,70.0,38.89,9.3,22.05
Fabiano,CYP,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,37,180,4.0,1.0,3.0,0.95,-0.05,0.0,2.0,7.5,19.0,5.0,642.8,3.0,68.6,9.5,0.0,0.0,0.0,1,75.0,26.67,0.0,17.81
Faton Maloku,KVX,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,34,450,4.2,1.0,3.2,1.02,0.02,0.4,3.2,10.4,23.2,5.6,748.48,9.6,315.44,15.8,1.2,0.6,8.58,1,76.19,30.77,7.59,18.5
Federico Ravaglia,ITA,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,26,990,4.64,1.27,3.36,1.57,0.3,0.18,4.82,15.73,43.45,4.91,1390.9,5.82,263.94,11.64,0.27,2.0,40.35,1,72.41,30.64,2.32,24.5
Filip Jørgensen,DEN,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,263,2.4,1.37,1.03,1.2,-0.17,0.0,3.76,8.56,33.54,3.08,901.3,3.08,125.25,11.63,0.0,2.05,38.63,1,42.92,43.93,0.0,21.46
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,27,1440,4.44,2.0,2.44,1.68,-0.32,0.19,5.75,18.44,37.81,3.19,1309.88,6.62,346.06,12.81,0.69,2.31,44.09,1,54.95,31.18,5.39,20.79
Florian Wiegele,AUT,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,24,180,5.0,0.0,5.0,1.2,1.2,1.0,8.0,18.0,32.5,2.5,1174.9,4.5,259.2,14.0,0.5,1.0,16.5,1,100.0,44.44,3.57,24.0
Francis Uzoho,NGA,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,27,360,4.5,0.5,3.75,1.35,0.85,0.5,3.25,12.25,22.75,5.25,756.92,4.0,201.05,17.75,0.75,0.25,3.42,1,83.33,26.53,4.23,25.0
Franco Israel,URU,Torino,Italian Serie A,GK,Goalkeeper,25,810,4.56,2.0,2.56,1.42,-0.58,0.33,6.44,18.67,30.33,3.67,1184.43,5.56,281.26,13.44,0.78,0.56,12.27,1,56.14,34.49,5.8,17.48
Frederik Rønnow,DEN,Union Berlin,German Bundesliga,GK,Goalkeeper,33,1440,4.44,1.56,2.81,1.54,-0.02,0.25,6.12,20.12,27.75,4.25,1070.23,6.88,394.22,14.69,1.31,0.75,13.86,1,63.29,30.42,8.92,21.95
Gabriel Kobylak,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,23,90,2.0,1.0,1.0,0.4,-0.6,0.0,0.0,4.0,19.0,3.0,528.2,0.0,0.0,6.0,2.0,1.0,13.8,1,50.0,0.0,33.33,10.0
Gerónimo Rulli,ARG,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,33,1800,4.9,1.1,3.85,1.31,0.21,0.3,3.55,9.6,33.65,4.9,953.64,3.65,141.4,10.5,1.75,2.8,57.44,1,78.57,36.98,16.67,21.01
Gianluigi Donnarumma,ITA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,26,2070,2.74,0.83,1.87,0.88,0.06,0.43,2.35,6.91,25.3,3.26,712.0,2.74,107.13,10.83,0.48,0.78,14.93,1,68.25,34.01,4.43,21.92
Giorgi Mamardashvili,GEO,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,755,4.29,1.79,2.38,1.31,-0.48,0.36,3.46,10.61,30.99,4.77,948.58,4.29,171.91,9.42,0.24,1.55,37.76,1,55.48,32.61,2.55,16.94
Goran Karaćić,BIH,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,29,360,2.0,0.75,1.25,0.75,0.0,0.25,5.0,14.0,27.25,5.25,925.68,6.75,345.95,13.75,0.5,0.75,16.5,1,62.5,35.71,3.64,23.44
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,28,1980,3.73,1.27,2.5,1.22,-0.05,0.41,3.14,10.18,30.09,3.82,958.58,3.68,133.59,12.23,0.32,1.18,22.72,1,67.02,30.84,2.62,21.92
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,26,662,4.35,1.63,2.85,1.6,-0.03,0.27,6.25,19.03,28.82,4.08,1122.36,6.8,387.38,16.18,1.09,1.22,19.26,1,65.52,32.84,6.74,24.1
Guglielmo Vicario,ITA,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,29,2430,4.04,1.26,2.78,1.3,0.04,0.41,4.59,14.59,35.93,4.41,1185.34,4.44,192.54,13.22,0.78,1.85,34.39,1,68.81,31.46,5.9,22.14
Guillaume Restes,FRA,Toulouse,French Ligue 1,GK,Goalkeeper,20,1530,3.24,1.29,1.94,1.21,-0.08,0.35,4.71,12.47,24.41,3.12,828.24,4.35,199.45,14.35,1.0,0.94,16.72,1,59.88,37.77,6.97,22.36
Günay Güvenç,TUR,Galatasaray,UEFA Champions League,GK,Goalkeeper,34,23,3.91,3.91,0.0,3.52,-0.39,0.0,0.0,0.0,35.22,3.91,736.04,11.74,301.7,11.74,0.0,3.91,133.04,1,0.0,,0.0,0.0
Hendrik Bonmann,GER,Ludogorets,UEFA Europa League,GK,Goalkeeper,31,270,7.0,2.67,4.33,2.97,0.3,0.0,6.0,19.0,42.0,4.67,1398.87,7.0,351.77,16.67,2.0,0.67,9.2,1,61.86,31.58,12.0,26.25
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa League,GK,Goalkeeper,32,540,4.33,1.0,3.17,1.43,0.43,0.33,5.5,14.33,34.33,2.5,1124.72,3.67,147.9,14.83,0.5,0.17,2.57,1,73.21,38.38,3.37,24.18
Henry Bonello,MLT,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,37,540,7.5,1.83,5.67,2.08,0.25,0.0,4.5,11.0,27.0,3.83,924.72,5.83,218.05,10.0,0.5,1.0,19.02,1,75.6,40.91,5.0,20.97
Hervé Koffi,BFA,Angers,French Ligue 1,GK,Goalkeeper,29,1350,5.2,1.07,4.0,1.53,0.47,0.33,3.33,11.4,28.4,5.13,926.42,6.13,222.78,15.4,1.87,0.67,9.06,1,76.92,29.21,12.14,22.63
Ionuț Radu,ROU,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,2070,4.22,1.13,3.04,1.18,0.05,0.22,2.48,9.61,21.22,5.26,679.33,7.52,303.33,14.35,0.65,0.57,9.51,1,72.04,25.81,4.53,20.14
Ivan Filipović,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,31,180,7.0,3.5,4.0,2.4,-1.1,0.0,1.5,7.5,37.0,7.5,900.05,5.5,195.5,10.5,1.0,1.5,22.55,1,57.14,20.0,9.52,19.59
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,27,360,3.0,1.5,1.75,0.8,-0.7,0.0,4.5,13.25,44.5,3.25,1186.45,4.0,160.32,11.75,0.75,2.0,37.52,1,58.33,33.96,6.38,15.56
Ivan Provedel,ITA,Lazio,Italian Serie A,GK,Goalkeeper,31,1800,4.2,0.8,3.4,1.14,0.34,0.5,4.2,11.6,30.95,4.05,1025.9,5.15,203.7,13.15,0.7,0.85,17.6,1,80.95,36.21,5.32,21.97
Iván Villar,ESP,Celta Vigo,UEFA Europa League,GK,Goalkeeper,28,180,4.5,1.5,3.0,1.3,-0.2,0.5,1.0,5.5,23.5,5.0,571.15,3.5,171.5,12.0,0.0,1.0,20.3,1,66.67,18.18,0.0,19.26
Iñaki Peña,ESP,Elche,Spanish La Liga,GK,Goalkeeper,26,1080,5.0,1.42,3.58,1.68,0.27,0.33,4.08,14.58,54.58,4.17,1517.59,4.17,143.68,13.0,0.42,2.25,42.37,1,71.6,27.98,3.23,24.06
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,32,540,4.67,1.83,2.67,1.82,-0.02,0.0,6.67,15.0,30.0,4.83,1101.03,3.5,181.68,11.0,1.0,1.67,34.38,1,57.17,44.47,9.09,22.28
Jakub Markovič,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,24,180,6.5,1.5,5.0,2.35,0.85,0.5,9.5,21.0,25.0,1.5,1042.1,8.0,414.05,10.0,0.5,2.0,31.1,1,76.92,45.24,5.0,27.81
James Trafford,ENG,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,360,4.25,1.5,2.75,1.78,0.28,0.25,2.5,9.5,30.5,3.25,875.15,3.75,168.68,8.25,0.5,4.25,90.98,1,64.71,26.32,6.06,27.1
Jan Koutny,CZE,Sigma Olomouc,UEFA Europa Conference League,GK,Goalkeeper,21,540,3.83,1.5,2.33,1.4,-0.1,0.0,4.33,14.17,19.5,2.33,779.48,6.33,329.08,9.83,0.33,1.67,29.83,1,60.84,30.56,3.36,22.24
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,2070,3.39,1.22,2.17,1.21,-0.01,0.26,6.13,13.22,26.35,4.0,866.26,7.48,360.72,13.22,0.83,0.91,17.27,1,64.01,46.37,6.28,22.85
Jari De Busser,BEL,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,26,540,7.33,1.83,5.5,2.25,0.42,0.0,3.83,14.17,36.83,3.33,1188.35,5.83,317.22,17.33,0.67,0.5,10.58,1,75.03,27.03,3.87,23.03
Jaylan Hankins,GIB,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,25,450,6.6,2.0,4.6,1.58,-0.42,0.0,6.8,22.0,26.4,4.0,1156.52,9.8,495.44,20.8,0.8,0.4,4.86,1,69.7,30.91,3.85,16.69
Jean Butez,FRA,Como,Italian Serie A,GK,Goalkeeper,30,1710,3.47,0.68,2.74,0.93,0.25,0.47,4.63,10.68,38.16,4.89,1144.73,3.0,115.06,9.79,0.95,2.89,60.67,1,78.96,43.35,9.7,21.16
Jeffrey De Lange,NED,Marseille,French Ligue 1,GK,Goalkeeper,27,270,3.67,1.0,2.67,1.07,0.07,0.33,1.33,5.0,27.33,2.33,634.73,2.33,85.33,11.0,0.0,0.67,11.83,1,72.75,26.6,0.0,21.21
Jindřich Staněk,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,29,360,7.0,2.0,5.0,2.6,0.6,0.25,6.25,17.25,33.5,4.75,1189.6,6.0,308.1,11.75,1.0,0.5,7.2,1,71.43,36.23,8.51,26.53
Jiří Pavlenka,CZE,PAOK,UEFA Europa League,GK,Goalkeeper,33,360,4.75,1.75,2.75,2.02,0.28,0.25,2.5,8.25,26.75,3.0,931.72,3.25,123.72,11.5,0.25,2.75,60.58,1,57.89,30.3,2.17,24.62
Joan García,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1440,3.56,0.88,2.75,1.16,0.29,0.44,1.69,4.44,30.56,6.81,781.11,2.94,90.71,9.44,0.69,4.19,94.56,1,77.25,38.06,7.31,25.17
