Player,Game Week,Team,League,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Mads Hermansen,J3,Leicester City,Premier League,dk DEN,24-051,90,5.0,2.0,3.0,2.3,0.3,False,2.0,2.0,26.0,5.0,114.0,2.0,30.0,9.0,0.0,5.0,100.0
Emiliano Martínez,J3,Aston Villa,Premier League,ar ARG,31-364,90,3.0,1.0,2.0,0.4,-0.6,False,11.0,17.0,30.0,2.0,67.0,8.0,452.0,13.0,2.0,2.0,25.8
Jordan Pickford,J3,Everton,Premier League,eng ENG,30-177,90,7.0,3.0,4.0,2.5,-0.5,False,11.0,32.0,31.0,1.0,56.7,6.0,354.0,20.0,0.0,4.0,89.2
Kepa Arrizabalaga,J3,Bournemouth,Premier League,es ESP,29-333,90,8.0,2.0,6.0,1.5,-0.5,False,2.0,6.0,18.0,4.0,96.8,14.0,432.6,18.0,0.0,0.0,0.0
Alphonse Areola,J3,West Ham,Premier League,fr FRA,31-186,45,5.0,2.0,3.0,1.7,-0.3,False,4.0,7.0,13.0,3.0,105.3,6.0,190.8,9.0,1.0,0.0,0.0
Łukasz Fabiański,J3,West Ham,Premier League,pl POL,39-135,45,3.0,1.0,2.0,1.2,0.2,False,1.0,4.0,6.0,3.0,112.5,2.0,153.0,6.0,0.0,0.0,0.0
Ederson,J3,Manchester City,Premier League,br BRA,31-014,90,2.0,1.0,2.0,0.2,-0.8,False,3.0,7.0,33.0,2.0,54.8,5.0,124.0,10.0,0.0,2.0,48.0
Nick Pope,J3,Newcastle Utd,Premier League,eng ENG,32-135,90,6.0,1.0,6.0,1.5,0.5,False,4.0,21.0,22.0,5.0,238.5,9.0,480.6,22.0,1.0,2.0,31.4
Guglielmo Vicario,J3,Tottenham,Premier League,it ITA,27-330,90,3.0,2.0,1.0,2.1,0.1,False,0.0,5.0,22.0,6.0,174.0,1.0,13.0,10.0,1.0,0.0,0.0
Stefano Turati,J11,Monza,Serie A,it ITA,23-058,90,7.0,1.0,6.0,2.1,1.1,False,6.0,11.0,22.0,8.0,260.0,6.0,217.2,15.0,0.0,0.0,0.0
Mike Maignan,J11,Milan,Serie A,fr FRA,29-122,90,2.0,0.0,2.0,0.2,0.2,True,4.0,12.0,50.0,4.0,100.0,6.0,267.0,14.0,1.0,0.0,0.0
Robert Sánchez,J3,Chelsea,Premier League,es ESP,26-288,90,3.0,1.0,2.0,1.1,0.1,False,3.0,6.0,34.0,5.0,117.5,2.0,77.0,6.0,1.0,7.0,137.2
Dean Henderson,J3,Crystal Palace,Premier League,eng ENG,27-173,90,7.0,1.0,6.0,2.7,1.7,False,5.0,16.0,21.0,5.0,196.5,11.0,401.5,15.0,2.0,0.0,0.0
André Onana,J3,Manchester Utd,Premier League,cm CMR,28-152,90,3.0,3.0,0.0,2.4,-0.6,False,3.0,11.0,52.0,4.0,98.0,3.0,138.0,6.0,0.0,3.0,81.9
Alisson,J3,Liverpool,Premier League,br BRA,31-335,90,3.0,0.0,3.0,0.6,0.6,True,1.0,4.0,35.0,3.0,60.0,1.0,18.0,14.0,1.0,5.0,88.5
Aaron Ramsdale,J4,Southampton,Premier League,eng ENG,26-123,90,10.0,3.0,7.0,3.6,0.6,False,3.0,9.0,36.0,7.0,189.0,1.0,7.0,7.0,2.0,2.0,31.0
André Onana,J4,Manchester Utd,Premier League,cm CMR,28-165,90,3.0,0.0,2.0,1.0,1.0,True,2.0,7.0,35.0,3.0,81.6,0.0,0.0,6.0,0.0,0.0,0.0
Ederson,J4,Manchester City,Premier League,br BRA,31-028,90,5.0,1.0,4.0,2.1,1.1,False,6.0,15.0,41.0,2.0,63.4,3.0,203.1,9.0,0.0,6.0,97.8
Mark Flekken,J4,Brentford,Premier League,nl NED,31-093,90,7.0,2.0,5.0,2.0,0.0,False,11.0,18.0,65.0,2.0,62.2,2.0,34.0,9.0,2.0,3.0,58.2
Alisson,J4,Liverpool,Premier League,br BRA,31-348,90,3.0,1.0,2.0,0.7,-0.3,False,0.0,2.0,18.0,1.0,19.7,2.0,36.0,5.0,0.0,1.0,21.3
Matz Sels,J4,Nott'ham Forest,Premier League,be BEL,32-201,90,5.0,0.0,5.0,0.6,0.6,True,9.0,29.0,21.0,0.0,0.0,9.0,626.4,16.0,1.0,1.0,12.0
Dean Henderson,J4,Crystal Palace,Premier League,eng ENG,27-186,90,4.0,2.0,2.0,2.2,0.2,False,2.0,5.0,26.0,10.0,260.0,5.0,139.0,7.0,0.0,2.0,35.0
Mads Hermansen,J4,Leicester City,Premier League,dk DEN,24-065,90,4.0,2.0,2.0,1.8,-0.2,False,7.0,26.0,30.0,8.0,400.8,6.0,367.8,21.0,1.0,0.0,0.0
Bernd Leno,J4,Fulham,Premier League,de GER,32-194,90,3.0,1.0,2.0,0.9,-0.1,False,3.0,8.0,31.0,3.0,78.6,4.0,209.2,12.0,0.0,1.0,12.7
Alphonse Areola,J4,West Ham,Premier League,fr FRA,31-200,90,5.0,1.0,4.0,0.8,-0.2,False,2.0,13.0,20.0,2.0,69.6,12.0,420.0,16.0,0.0,0.0,0.0
Bart Verbruggen,J4,Brighton,Premier League,nl NED,22-027,90,1.0,0.0,1.0,0.1,0.1,True,2.0,3.0,36.0,3.0,61.5,2.0,53.0,3.0,1.0,0.0,0.0
Arijanet Muric,J4,Ipswich Town,Premier League,xk KVX,25-312,90,6.0,0.0,6.0,2.1,2.1,True,6.0,22.0,38.0,8.0,276.8,8.0,431.2,21.0,4.0,0.0,0.0
Emiliano Martínez,J4,Aston Villa,Premier League,ar ARG,32-012,90,2.0,2.0,0.0,1.1,-0.9,False,4.0,5.0,20.0,4.0,123.6,1.0,17.0,10.0,2.0,2.0,34.4
Jordan Pickford,J4,Everton,Premier League,eng ENG,30-191,90,7.0,3.0,4.0,2.4,-0.6,False,11.0,18.0,25.0,4.0,182.0,10.0,322.0,15.0,0.0,2.0,39.6
Mark Travers,J4,Bournemouth,Premier League,ie IRL,25-119,90,3.0,1.0,2.0,1.2,0.2,False,6.0,12.0,16.0,3.0,120.9,2.0,136.0,6.0,0.0,2.0,32.0
Robert Sánchez,J4,Chelsea,Premier League,es ESP,26-301,90,7.0,0.0,6.0,2.5,2.5,True,3.0,14.0,51.0,6.0,177.6,2.0,86.0,14.0,2.0,2.0,30.0
Alex Meret,J11,Napoli,Serie A,it ITA,27-226,90,3.0,3.0,0.0,1.0,-2.0,False,1.0,2.0,28.0,3.0,76.8,9.0,234.9,5.0,0.0,1.0,25.0
Marco Carnesecchi,J11,Atalanta,Serie A,it ITA,24-125,90,3.0,0.0,3.0,0.6,0.6,True,2.0,14.0,33.0,5.0,186.0,5.0,287.0,12.0,1.0,2.0,32.6
Guglielmo Vicario,J4,Tottenham,Premier League,it ITA,27-344,90,4.0,1.0,3.0,1.4,0.4,False,1.0,3.0,25.0,4.0,92.8,1.0,12.0,9.0,0.0,1.0,13.0
David Raya,J4,Arsenal,Premier League,es ESP,29-000,90,5.0,0.0,5.0,0.3,0.3,True,8.0,20.0,31.0,6.0,209.4,7.0,364.7,25.0,2.0,2.0,24.8
Sam Johnstone,J4,Wolves,Premier League,eng ENG,31-174,90,6.0,2.0,4.0,1.7,-0.3,False,15.0,24.0,42.0,5.0,179.5,5.0,237.0,10.0,1.0,1.0,10.0
Nick Pope,J4,Newcastle Utd,Premier League,eng ENG,32-149,90,5.0,1.0,4.0,1.3,0.3,False,1.0,9.0,28.0,3.0,111.0,6.0,115.2,13.0,1.0,2.0,34.0
Alphonse Areola,J5,West Ham,Premier League,fr FRA,31-207,90,5.0,3.0,2.0,2.7,-0.3,False,3.0,5.0,29.0,4.0,92.0,4.0,59.2,6.0,0.0,0.0,0.0
Robert Sánchez,J5,Chelsea,Premier League,es ESP,26-308,90,7.0,0.0,7.0,0.8,0.8,True,6.0,13.0,42.0,8.0,255.2,1.0,73.0,21.0,3.0,2.0,24.2
Guglielmo Vicario,J5,Tottenham,Premier League,it ITA,27-350,90,6.0,1.0,5.0,1.5,0.5,False,1.0,5.0,34.0,9.0,233.1,1.0,6.0,12.0,4.0,4.0,58.8
Mark Flekken,J5,Brentford,Premier League,nl NED,31-100,90,9.0,3.0,6.0,1.9,-1.1,False,13.0,30.0,66.0,4.0,149.2,3.0,161.1,16.0,1.0,1.0,11.0
Emiliano Martínez,J5,Aston Villa,Premier League,ar ARG,32-019,90,4.0,1.0,3.0,1.1,0.1,False,1.0,4.0,29.0,4.0,100.4,1.0,19.0,10.0,0.0,2.0,32.6
Sam Johnstone,J5,Wolves,Premier League,eng ENG,31-180,90,3.0,3.0,0.0,1.8,-1.2,False,4.0,12.0,31.0,6.0,198.0,5.0,218.0,12.0,0.0,1.0,19.5
Bernd Leno,J5,Fulham,Premier League,de GER,32-201,90,5.0,1.0,4.0,1.0,0.0,False,5.0,19.0,27.0,3.0,133.8,4.0,294.0,11.0,1.0,0.0,0.0
Nick Pope,J5,Newcastle Utd,Premier League,eng ENG,32-155,90,11.0,3.0,8.0,3.0,0.0,False,0.0,3.0,18.0,8.0,191.2,10.0,244.0,13.0,0.0,0.0,0.0
Aaron Ramsdale,J5,Southampton,Premier League,eng ENG,26-130,90,6.0,1.0,5.0,2.4,1.4,False,3.0,17.0,36.0,3.0,108.0,1.0,71.0,17.0,1.0,4.0,85.6
Arijanet Muric,J5,Ipswich Town,Premier League,xk KVX,25-319,90,3.0,1.0,2.0,1.2,0.2,False,0.0,1.0,25.0,5.0,102.5,0.0,0.0,8.0,2.0,0.0,0.0
Mads Hermansen,J5,Leicester City,Premier League,dk DEN,24-072,90,5.0,1.0,4.0,1.5,0.5,False,5.0,8.0,27.0,6.0,172.2,6.0,111.0,9.0,1.0,0.0,0.0
Jordan Pickford,J5,Everton,Premier League,eng ENG,30-198,90,2.0,1.0,1.0,1.0,0.0,False,11.0,21.0,23.0,2.0,86.2,11.0,620.4,24.0,2.0,1.0,13.2
Caoimhín Kelleher,J5,Liverpool,Premier League,ie IRL,25-303,90,6.0,0.0,6.0,1.5,1.5,True,3.0,6.0,44.0,8.0,169.6,0.0,0.0,17.0,1.0,0.0,0.0
Kepa Arrizabalaga,J5,Bournemouth,Premier League,es ESP,29-354,90,12.0,3.0,9.0,3.8,0.8,False,3.0,8.0,32.0,7.0,214.9,2.0,108.0,6.0,1.0,2.0,21.0
Dean Henderson,J5,Crystal Palace,Premier League,eng ENG,27-193,90,6.0,0.0,6.0,1.8,1.8,True,5.0,22.0,31.0,5.0,186.0,11.0,577.5,17.0,3.0,4.0,71.6
André Onana,J5,Manchester Utd,Premier League,cm CMR,28-172,90,4.0,0.0,4.0,0.5,0.5,True,1.0,7.0,42.0,5.0,112.5,4.0,73.2,11.0,0.0,1.0,14.0
Vanja Milinković-Savić,J11,Torino,Serie A,rs SRB,27-257,90,3.0,1.0,2.0,0.3,-0.7,False,3.0,8.0,32.0,9.0,268.2,5.0,132.0,10.0,3.0,1.0,9.3
David de Gea,J11,Fiorentina,Serie A,es ESP,33-362,90,1.0,0.0,1.0,0.1,0.1,True,9.0,21.0,31.0,4.0,168.8,8.0,328.0,8.0,1.0,0.0,0.0
Bart Verbruggen,J5,Brighton,Premier League,nl NED,22-035,90,3.0,2.0,1.0,1.7,-0.3,False,2.0,4.0,35.0,9.0,189.0,1.0,8.0,3.0,1.0,6.0,135.0
Matz Sels,J5,Nott'ham Forest,Premier League,be BEL,32-209,90,3.0,2.0,1.0,1.1,-0.9,False,5.0,23.0,17.0,1.0,52.9,10.0,628.0,34.0,0.0,0.0,0.0
Ederson,J5,Manchester City,Premier League,br BRA,31-036,90,3.0,2.0,1.0,1.5,-0.5,False,2.0,6.0,26.0,0.0,0.0,1.0,35.0,7.0,0.0,2.0,46.6
David Raya,J5,Arsenal,Premier League,es ESP,29-007,90,11.0,2.0,9.0,2.2,0.2,False,9.0,31.0,28.0,0.0,0.0,12.0,832.8,18.0,3.0,0.0,0.0
Nick Pope,J6,Newcastle Utd,Premier League,eng ENG,32-162,90,6.0,1.0,5.0,1.4,0.4,False,1.0,8.0,18.0,6.0,210.6,8.0,243.2,16.0,1.0,1.0,14.0
Ederson,J6,Manchester City,Premier League,br BRA,31-042,90,4.0,1.0,3.0,1.1,0.1,False,6.0,15.0,47.0,7.0,207.2,2.0,83.0,13.0,0.0,0.0,0.0
Mark Flekken,J6,Brentford,Premier League,nl NED,31-107,90,3.0,1.0,2.0,1.3,0.3,False,5.0,15.0,47.0,3.0,100.8,4.0,184.0,14.0,1.0,1.0,13.7
Alphonse Areola,J6,West Ham,Premier League,fr FRA,31-214,90,3.0,1.0,2.0,1.3,0.3,False,10.0,18.0,30.0,4.0,132.4,6.0,390.0,22.0,0.0,2.0,40.0
Jordan Pickford,J6,Everton,Premier League,eng ENG,30-205,90,4.0,1.0,3.0,0.7,-0.3,False,14.0,27.0,35.0,5.0,207.5,8.0,436.8,17.0,3.0,2.0,29.6
Dean Henderson,J6,Crystal Palace,Premier League,eng ENG,27-200,90,2.0,2.0,0.0,0.6,-1.4,False,0.0,3.0,16.0,5.0,112.0,4.0,133.2,20.0,0.0,1.0,12.7
David Raya,J6,Arsenal,Premier League,es ESP,29-013,90,3.0,2.0,1.0,0.2,-1.8,False,2.0,8.0,22.0,2.0,68.2,3.0,60.9,2.0,0.0,0.0,0.0
Mads Hermansen,J6,Leicester City,Premier League,dk DEN,24-079,90,16.0,4.0,13.0,5.2,1.2,False,9.0,22.0,29.0,4.0,136.8,10.0,547.0,36.0,2.0,2.0,22.4
Robert Sánchez,J6,Chelsea,Premier League,es ESP,26-315,90,5.0,2.0,3.0,1.4,-0.6,False,4.0,18.0,56.0,10.0,301.0,5.0,234.0,9.0,0.0,5.0,113.0
Bart Verbruggen,J6,Brighton,Premier League,nl NED,22-041,90,6.0,4.0,2.0,3.1,-0.9,False,5.0,10.0,46.0,2.0,55.6,1.0,32.0,10.0,0.0,2.0,32.4
Matz Sels,J6,Nott'ham Forest,Premier League,be BEL,32-215,90,2.0,1.0,1.0,0.8,-0.2,False,1.0,11.0,16.0,1.0,38.6,4.0,148.0,14.0,0.0,0.0,0.0
Bernd Leno,J6,Fulham,Premier League,de GER,32-208,90,1.0,0.0,1.0,0.0,0.0,True,3.0,6.0,31.0,2.0,48.8,5.0,168.0,20.0,1.0,0.0,0.0
Sam Johnstone,J6,Wolves,Premier League,eng ENG,31-187,90,6.0,2.0,4.0,1.5,-0.5,False,5.0,10.0,38.0,8.0,222.4,4.0,170.0,16.0,2.0,2.0,24.6
Alisson,J6,Liverpool,Premier League,br BRA,31-362,90,3.0,1.0,2.0,1.1,0.1,False,1.0,5.0,30.0,3.0,80.1,2.0,28.0,13.0,1.0,2.0,29.2
Arijanet Muric,J6,Ipswich Town,Premier League,xk KVX,25-327,90,3.0,2.0,1.0,1.2,-0.8,False,3.0,7.0,23.0,2.0,49.6,4.0,227.2,2.0,0.0,1.0,20.8
Emiliano Martínez,J6,Aston Villa,Premier League,ar ARG,32-027,90,5.0,2.0,3.0,2.4,0.4,False,4.0,11.0,29.0,2.0,62.4,9.0,438.3,14.0,2.0,0.0,0.0
Lorenzo Montipò,J11,Hellas Verona,Serie A,it ITA,28-257,90,3.0,2.0,1.0,1.2,-0.8,False,9.0,35.0,26.0,1.0,56.2,11.0,740.3,9.0,0.0,2.0,32.0
Mile Svilar,J11,Roma,Serie A,rs SRB,25-068,90,3.0,3.0,0.0,1.6,-1.4,False,2.0,4.0,18.0,3.0,81.6,6.0,228.0,3.0,1.0,5.0,97.0
André Onana,J6,Manchester Utd,Premier League,cm CMR,28-180,90,10.0,3.0,7.0,3.4,0.4,False,5.0,15.0,29.0,9.0,270.0,6.0,400.2,10.0,1.0,0.0,0.0
Guglielmo Vicario,J6,Tottenham,Premier League,it ITA,27-358,90,2.0,0.0,2.0,0.3,0.3,True,1.0,2.0,45.0,7.0,136.5,6.0,109.2,15.0,1.0,2.0,33.6
Kepa Arrizabalaga,J6,Bournemouth,Premier League,es ESP,29-363,90,3.0,1.0,2.0,1.3,0.3,False,6.0,8.0,22.0,3.0,101.1,2.0,66.0,11.0,1.0,1.0,12.3
Aaron Ramsdale,J6,Southampton,Premier League,eng ENG,26-139,90,6.0,3.0,3.0,1.6,-1.4,False,6.0,17.0,54.0,5.0,160.0,1.0,9.0,16.0,1.0,2.0,38.0
Dean Henderson,J7,Crystal Palace,Premier League,eng ENG,27-207,90,4.0,1.0,3.0,0.5,-0.5,False,1.0,18.0,23.0,5.0,199.0,10.0,505.0,11.0,0.0,3.0,52.5
Alisson,J7,Liverpool,Premier League,br BRA,32-003,78,4.0,0.0,4.0,1.0,0.0,False,1.0,8.0,37.0,9.0,220.5,3.0,87.0,6.0,0.0,1.0,14.0
Vitezslav Jaros,J7,Liverpool,Premier League,cz CZE,23-074,12,1.0,0.0,1.0,0.0,0.0,True,5.0,7.0,7.0,2.0,101.8,1.0,59.0,2.0,0.0,0.0,0.0
Mark Flekken,J7,Brentford,Premier League,nl NED,31-114,90,6.0,3.0,3.0,1.4,-1.6,False,9.0,19.0,37.0,2.0,74.0,8.0,399.2,16.0,1.0,0.0,0.0
Sam Johnstone,J7,Wolves,Premier League,eng ENG,31-194,90,12.0,5.0,7.0,4.8,-0.2,False,6.0,24.0,44.0,3.0,116.1,4.0,153.2,19.0,0.0,1.0,12.7
Mads Hermansen,J7,Leicester City,Premier League,dk DEN,24-086,90,2.0,0.0,2.0,0.8,0.8,True,12.0,27.0,36.0,2.0,73.6,10.0,649.0,25.0,2.0,0.0,0.0
Kepa Arrizabalaga,J7,Bournemouth,Premier League,es ESP,30-002,90,2.0,1.0,1.0,0.8,-0.2,False,5.0,9.0,27.0,3.0,85.8,7.0,212.8,4.0,1.0,3.0,60.0
Ederson,J7,Manchester City,Premier League,br BRA,31-049,90,4.0,2.0,2.0,2.5,0.5,False,1.0,4.0,28.0,3.0,77.1,1.0,19.0,11.0,0.0,3.0,71.4
Bernd Leno,J7,Fulham,Premier League,de GER,32-215,90,7.0,3.0,4.0,1.3,-1.7,False,0.0,2.0,24.0,4.0,93.2,1.0,62.0,12.0,1.0,0.0,0.0
Alphonse Areola,J7,West Ham,Premier League,fr FRA,31-221,90,2.0,1.0,1.0,0.7,-0.3,False,5.0,12.0,40.0,5.0,142.0,7.0,322.0,13.0,2.0,0.0,0.0
Arijanet Muric,J7,Ipswich Town,Premier League,xk KVX,25-333,90,12.0,4.0,8.0,3.3,-0.7,False,6.0,8.0,28.0,9.0,238.5,3.0,162.0,9.0,6.0,0.0,0.0
David Raya,J7,Arsenal,Premier League,es ESP,29-020,90,2.0,1.0,1.0,0.6,-0.4,False,3.0,5.0,26.0,3.0,76.8,0.0,0.0,4.0,0.0,4.0,94.0
Aaron Ramsdale,J7,Southampton,Premier League,eng ENG,26-144,90,6.0,3.0,3.0,2.7,-0.3,False,4.0,13.0,43.0,2.0,63.4,4.0,105.2,27.0,0.0,1.0,14.0
Jordan Pickford,J7,Everton,Premier League,eng ENG,30-212,90,2.0,0.0,1.0,0.9,0.9,True,5.0,24.0,31.0,5.0,213.0,9.0,552.6,18.0,1.0,1.0,12.8
