Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18,18,1620,30,86,57,4,1,1,0,0,27.4,59,245,377,52,105,246,5,17,0,-2.6000000000000014
Denis Petrić,rs SRB,GK,Nantes,35,1988,1,0,24,1,1,0,0,0,0,0,0,0.3,1,2,7,2,0,4,0,0,0,-0.7
Denis Pintol,si SVN,GK,si Olimpija,23,2000,4,4,360,6,15,9,1,0,0,0,0,4.8,5,22,80,24,31,46,4,2,0,-1.2000000000000002
Diant Ramaj,de GER,GK,nl Ajax,21,2001,8,8,750,16,42,26,1,2,2,0,0,14.399999999999999,36,113,356,24,62,96,7,10,0,-1.6000000000000005
Diego Mariño,es ESP,GK,Almería,33,1990,1,1,90,2,4,2,0,2,2,0,0,2.1,1,5,25,6,2,6,0,2,0,0.10000000000000009
Dimitry Bertaud,cd COD,GK,Montpellier,25,1998,4,4,360,11,34,23,0,0,0,0,0,10.9,18,61,118,26,23,56,3,0,0,-0.09999999999999964
Diogo Costa,pt POR,GK,pt Porto,23,1999,8,8,750,9,28,20,2,0,0,0,0,5.9,39,118,322,37,52,86,8,14,0,-3.0999999999999996
Dmytro Riznyk,ua UKR,GK,ua Shakhtar,24,1999,8,8,720,17,48,31,2,1,0,0,1,13.3,29,75,228,33,46,135,11,12,1,-3.6999999999999993
Dominik Greif,sk SVK,GK,Mallorca,26,1997,1,1,90,0,4,4,1,0,0,0,0,0.7,10,18,23,3,9,12,0,1,0,0.7
Dominik Hładun,pl POL,GK,pl Legia Warsaw,27,1995,2,2,180,1,6,5,1,0,0,0,0,2.0,10,30,50,4,9,19,0,4,0,1.0
Dominik Kotarski,hr CRO,GK,gr PAOK,23,2000,10,10,900,16,44,27,0,3,2,1,0,15.7,30,112,303,30,46,111,3,12,1,-0.3000000000000007
Dominik Livaković,hr CRO,GK,tr Fenerbahçe,28,1995,6,6,570,12,29,17,2,0,0,0,0,9.2,13,66,159,32,36,65,6,8,0,-2.8000000000000007
Dominik Takáč,sk SVK,GK,sk Spartak Trnava,24,1999,6,6,540,15,42,27,0,3,1,1,1,17.3,27,109,88,7,58,90,2,1,2,2.3000000000000007
Dénes Dibusz,hu HUN,GK,hu Ferencváros,32,1990,8,8,720,8,34,26,1,1,1,0,0,7.8,38,102,235,41,52,110,5,6,0,-0.20000000000000018
Ederson,br BRA,GK,Manchester City,29,1993,40,40,3445,33,95,63,11,3,3,0,0,32.7,134,275,1346,166,137,290,29,56,0,-0.3000000000000007
Elia Caprile,it ITA,GK,Empoli,21,2001,23,23,2070,27,106,78,5,5,4,1,0,27.6,117,350,657,137,159,391,31,20,1,0.6000000000000014
Emil Audero,id IDN,GK,it Inter,26,1997,5,5,427,6,16,10,2,0,0,0,0,5.300000000000001,7,26,207,34,25,62,7,4,0,-0.6999999999999997
Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,43,43,3855,58,168,114,11,1,1,0,0,61.6,164,423,1635,196,203,445,54,86,0,3.6000000000000014
Enea Koliçi,al ALB,GK,xk KF Ballkani Therandë,37,1986,6,6,540,7,21,14,2,1,1,0,0,7.0,10,25,124,37,56,99,8,2,0,0.0
Ersin Destanoğlu,tr TUR,GK,tr Beşiktaş,22,2001,3,3,270,8,20,13,1,0,0,0,0,6.9,16,42,84,14,25,44,1,3,0,-1.0999999999999996
Etrit Berisha,al ALB,GK,Empoli,34,1989,14,14,1260,25,74,49,4,3,2,1,0,20.7,44,184,400,75,90,236,11,10,1,-4.300000000000001
Fabian Bredlow,de GER,GK,Stuttgart,28,1995,4,4,360,3,22,19,1,0,0,0,0,5.0,22,61,168,15,11,55,1,5,0,2.0
Federico Ravaglia,it ITA,GK,Bologna,23,1999,6,6,535,3,18,13,4,1,0,1,0,5.5,14,49,172,23,34,73,1,4,1,2.5
Fernando,es ESP,GK,Almería,33,1990,4,4,360,10,23,13,0,0,0,0,0,8.5,22,67,133,28,26,72,4,7,0,-1.5
Fernando Muslera,uy URU,GK,tr Galatasaray,37,1986,8,8,720,19,37,18,0,0,0,0,0,18.1,46,121,300,39,53,88,5,36,0,-0.9000000000000004
Filip Jørgensen,dk DEN,GK,Villarreal,21,2002,37,37,3330,64,207,144,6,6,6,0,0,61.0,146,362,1074,183,253,659,34,39,0,-3.0000000000000027
Filip Marshall,eng ENG,GK,eng Aston Villa,20,2003,1,1,90,1,1,0,0,0,0,0,0,0.6,1,4,26,5,6,11,0,6,0,-0.4
Filip Samurović,rs SRB,GK,rs Čukarički,20,2002,1,1,90,3,6,3,0,1,1,0,0,1.6,5,15,19,3,15,18,2,0,0,-1.4
Finn Dahmen,de GER,GK,Augsburg,25,1998,31,31,2790,52,158,106,3,10,7,2,1,49.3,169,450,1151,92,187,484,28,50,3,-2.700000000000003
Fran Vieites,es ESP,GK,Betis,24,1999,4,3,315,4,18,14,2,0,0,0,0,4.5,13,50,82,18,35,65,3,2,0,0.5
Francesco Rossi,it ITA,GK,it Atalanta,32,1991,2,0,12,0,1,1,2,0,0,0,0,0.8,2,5,3,2,4,6,0,0,0,0.8
Franco Israel,uy URU,GK,pt Sporting CP,23,2000,4,4,360,4,12,8,1,0,0,0,0,4.5,16,48,143,18,23,70,6,3,0,0.5
Frederik Rønnow,dk DEN,GK,de Union Berlin,30,1992,39,39,3510,66,191,123,7,8,5,3,0,62.1,228,614,1250,205,262,655,61,38,3,-3.899999999999997
Gauthier Gallon,fr FRA,GK,fr Rennes,30,1993,1,1,90,1,2,1,0,1,1,0,0,0.9,8,22,33,0,12,15,0,3,0,-0.09999999999999998
Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,24,1999,37,37,3249,35,162,126,13,4,3,1,0,45.2,67,166,924,158,202,402,17,41,1,10.2
Giorgi Mamardashvili,ge GEO,GK,Valencia,22,2000,37,37,3284,41,145,103,13,6,3,3,0,49.2,185,671,864,142,245,530,45,31,3,8.200000000000003
Giorgos Athanasiadis,gr GRE,GK,gr AEK Athens,30,1993,3,2,212,7,18,11,0,2,2,0,0,9.0,9,16,53,15,18,24,1,9,0,2.0
Gregor Kobel,ch SUI,GK,de Dortmund,25,1997,39,39,3445,44,173,129,13,8,6,2,0,52.5,170,409,1387,144,246,547,13,18,2,8.499999999999996
Grégoire Coudert,fr FRA,GK,Brest,24,1999,3,2,181,0,4,4,2,0,0,0,0,0.3,12,36,70,10,10,24,0,2,0,0.3
Guglielmo Vicario,it ITA,GK,Tottenham,26,1996,38,38,3420,61,167,109,7,7,7,0,0,60.0,53,225,1363,193,201,511,33,81,0,-1.0
Guillaume Dietsch,fr FRA,GK,Metz,22,2001,1,0,73,1,3,2,0,0,0,0,0,0.8,6,16,19,3,7,14,1,0,0,-0.19999999999999996
Guillaume Restes,fr FRA,GK,Toulouse,18,2005,42,42,3780,57,169,113,9,6,6,0,0,55.099999999999994,131,398,901,121,262,618,10,18,0,-1.9000000000000021
Guillermo Ochoa,mx MEX,GK,Salernitana,38,1985,21,21,1890,44,115,72,1,7,7,0,0,37.2,85,323,479,73,171,342,9,11,0,-6.799999999999997
Heinz Lindner,at AUT,GK,be Union SG,33,1990,2,2,180,2,7,5,1,0,0,0,0,2.4,5,18,45,0,13,17,0,1,0,0.3999999999999999
Hendrik Van Crombrugge,be BEL,GK,be Genk,30,1993,2,2,180,2,11,9,1,1,1,0,0,3.4,4,18,80,8,12,32,3,3,0,1.4
Ionuț Radu,ro ROU,GK,Bournemouth,26,1997,2,2,180,7,11,4,0,0,0,0,0,2.9,5,15,57,10,11,19,2,0,0,-4.1
Itamar Nitzan,il ISR,GK,il Maccabi Haifa,36,1987,1,1,90,3,11,8,0,0,0,0,0,2.9,4,16,40,9,5,19,0,1,0,-0.10000000000000009
Ivan Nevistić,hr CRO,GK,hr Dinamo Zagreb,25,1998,7,7,630,10,20,11,2,2,2,0,0,9.3,37,101,254,23,59,93,6,7,0,-0.6999999999999993
Ivan Provedel,it ITA,GK,it Lazio,29,1994,38,38,3419,43,150,107,12,3,2,0,1,41.1,119,297,1046,134,215,465,18,25,1,-1.9000000000000004
Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,9,9,771,25,59,36,0,1,0,0,1,14.7,65,199,207,25,89,193,11,14,1,-10.3
Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1,1,90,1,6,5,0,0,0,0,0,1.2,1,11,32,8,3,6,1,0,0,0.19999999999999996
Iván Villar,es ESP,GK,Celta Vigo,26,1997,12,12,1014,18,44,26,0,3,2,1,0,16.3,39,138,223,48,98,136,5,9,1,-1.6999999999999993
Iñaki Peña,es ESP,GK,Barcelona,24,1999,12,12,1080,21,49,28,2,0,0,0,0,17.7,31,65,309,53,60,135,2,6,0,-3.3
Jack Butland,eng ENG,GK,sct Rangers,30,1993,8,8,720,9,35,27,2,1,1,0,0,9.9,31,102,192,42,73,116,5,7,0,0.9000000000000004
Jacob Karlstrom,no NOR,GK,no Molde,26,1997,2,2,130,3,10,7,0,0,0,0,0,2.6,8,20,48,10,12,22,2,2,0,-0.3999999999999999
James Shea,eng ENG,GK,Luton Town,32,1991,1,0,15,0,2,2,0,0,0,0,0,0.1,3,6,6,1,3,3,0,1,0,0.1
James Trafford,eng ENG,GK,Burnley,20,2002,28,28,2520,62,166,106,2,5,5,0,0,54.1,138,606,1332,162,198,419,30,43,0,-7.899999999999999
Jan Oblak,si SVN,GK,Atlético Madrid,30,1993,48,48,4350,56,193,138,15,2,1,0,1,51.599999999999994,148,435,954,226,347,719,47,25,1,-4.400000000000002
Janis Blaswich,de GER,GK,de RB Leipzig,32,1991,26,26,2340,39,97,59,5,4,4,0,0,33.3,83,200,1022,106,175,309,16,42,0,-5.699999999999999
Jason Steele,eng ENG,GK,Brighton,32,1990,22,22,1980,43,92,51,4,3,3,0,0,33.2,56,154,773,84,66,214,7,56,0,-9.8
Jaume Doménech,es ESP,GK,Valencia,32,1990,2,1,79,3,12,9,0,0,0,0,0,1.7,4,20,24,2,7,19,1,1,0,-1.3
Jay Gorter,nl NED,GK,nl Ajax,23,2000,2,2,180,4,17,13,0,0,0,0,0,5.0,10,35,102,18,12,27,2,0,0,1.0
Jean Butez,fr FRA,GK,be Antwerp,28,1995,5,5,450,15,30,16,0,0,0,0,0,10.5,34,78,200,26,16,52,8,3,0,-4.5
Jean-Louis Leca,fr FRA,GK,Lens,37,1985,1,1,90,2,2,0,0,0,0,0,0,1.0,1,10,22,5,4,8,0,0,0,-1.0
Jens Grahl,de GER,GK,Eint Frankfurt,34,1988,4,3,315,3,16,13,1,0,0,0,0,2.9,4,34,115,23,20,49,5,5,0,-0.10000000000000009
Jeremías Ledesma,ar ARG,GK,Cádiz,30,1993,34,34,3048,47,151,104,9,2,2,0,0,46.4,313,785,897,115,284,526,53,45,0,-0.6000000000000014
Jesse Öst,fi FIN,GK,fi HJK,32,1990,3,2,258,10,25,15,0,1,1,0,0,9.7,12,45,80,10,36,57,1,0,0,-0.3000000000000007
Jesús Owono,gq EQG,GK,Alavés,22,2001,4,4,360,8,24,16,1,0,0,0,0,6.4,36,77,88,9,31,29,4,8,0,-1.5999999999999996
Jindřich Staněk,cz CZE,GK,cz Viktoria Plzeň,27,1996,5,5,450,8,20,12,2,0,0,0,0,6.5,31,84,149,17,32,64,4,0,0,-1.5
Jiří Pavlenka,cz CZE,GK,Werder Bremen,31,1992,7,7,630,17,38,21,1,2,2,0,0,13.1,31,85,177,37,69,109,7,9,0,-3.9000000000000004
Joe Hart,eng ENG,GK,sct Celtic,36,1987,6,6,540,15,38,21,0,2,0,2,0,13.3,11,30,192,36,52,84,1,1,2,-1.6999999999999993
Jonas Omlin,ch SUI,GK,Gladbach,29,1994,7,7,630,18,47,29,0,2,2,0,0,13.3,32,90,242,37,34,78,7,12,0,-4.699999999999999
Jordan Pickford,eng ENG,GK,Everton,29,1994,38,38,3420,51,165,117,13,8,8,0,0,52.4,360,901,1297,141,273,570,30,54,0,1.3999999999999986
Josep Martinez,es ESP,GK,Genoa,25,1998,36,36,3239,43,130,87,8,4,3,1,0,38.9,227,583,1253,107,171,580,45,40,1,-4.100000000000001
Josip Condric,hr CRO,GK,kz Astana FK,29,1993,6,6,540,13,36,23,1,2,2,0,0,9.3,16,97,139,31,56,84,8,5,0,-3.6999999999999993
José Sá,pt POR,GK,Wolves,30,1993,35,35,3037,58,188,131,4,8,8,0,0,65.9,87,424,841,190,253,522,45,28,0,7.900000000000006
Juan Musso,ar ARG,GK,it Atalanta,29,1994,23,23,2070,20,67,48,11,5,5,0,0,20.200000000000003,111,302,620,126,147,222,23,39,0,0.20000000000000107
Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,4,2,238,4,12,8,2,0,0,0,0,2.4,18,49,78,20,22,41,2,3,0,-1.6
Julian Faye-Lund,no NOR,GK,no Bodø/Glimt,24,1999,2,2,180,5,9,4,0,0,0,0,0,2.2,6,17,49,9,12,28,3,0,0,-2.8
Justin Bijlow,nl NED,GK,nl Feyenoord,25,1998,4,4,360,7,15,10,0,2,2,0,0,7.0,6,24,166,14,12,31,1,12,0,0.0
Jérémy Frick,ch SUI,GK,ch Servette FC,30,1993,10,10,930,13,38,26,4,0,0,0,0,14.5,87,216,298,37,81,118,7,10,0,1.4999999999999991
Kacper Tobiasz,pl POL,GK,pl Legia Warsaw,20,2002,6,6,540,11,24,13,1,0,0,0,0,9.9,16,67,183,18,28,53,2,17,0,-1.0999999999999996
Kamil Grabara,pl POL,GK,dk FC Copenhagen,24,1999,8,8,720,14,44,30,2,1,1,0,0,13.3,44,123,224,41,64,138,6,3,0,-0.6999999999999993
Kelle Roos,nl NED,GK,sct Aberdeen,31,1992,6,6,540,10,29,19,1,2,2,0,0,11.0,45,146,161,12,52,104,3,5,0,1.0
Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,18,17,1558,14,53,40,9,1,1,0,0,14.3,42,113,509,83,89,215,10,12,0,0.2999999999999998
Kevin Müller,de GER,GK,Heidenheim,32,1991,34,34,3060,55,174,121,6,10,7,1,2,53.6,249,595,1164,167,316,495,24,17,3,-1.3999999999999986
Kevin Trapp,de GER,GK,Eint Frankfurt,33,1990,39,39,3464,58,159,99,8,11,9,2,0,57.0,113,414,1112,154,244,518,18,34,2,-1.0000000000000036
Keylor Navas,cr CRC,GK,Paris S-G,36,1986,4,4,360,6,12,6,1,1,1,0,0,4.7,4,9,80,12,18,37,0,5,0,-1.2999999999999998
Kjell Scherpen,nl NED,GK,at Sturm Graz,23,2000,6,6,540,9,29,20,1,1,1,0,0,11.6,25,93,152,24,49,94,10,5,0,2.5999999999999996
Kjetil Haug,no NOR,GK,no Bodø/Glimt,25,1998,2,2,210,4,8,4,0,1,1,0,0,2.9,3,16,109,10,8,26,4,3,0,-1.1
Koen Casteels,be BEL,GK,Wolfsburg,31,1992,25,25,2250,39,115,78,4,3,2,0,1,36.4,161,390,786,118,161,335,25,38,1,-2.6000000000000014
Kostas Tzolakis,gr GRE,GK,gr Olympiacos,20,2002,6,6,630,6,30,24,2,3,2,0,1,7.7,46,176,172,19,53,99,12,13,1,1.7000000000000002
Lapo Nava,it ITA,GK,Milan,19,2004,1,0,3,1,2,1,0,0,0,0,0,0.9,1,1,1,0,0,0,0,0,0,-0.09999999999999998
Lorenzo Montipò,it ITA,GK,Hellas Verona,27,1996,37,37,3330,49,153,105,8,2,2,0,0,40.7,323,763,960,109,305,487,22,43,0,-8.299999999999997
Loris Karius,de GER,GK,Newcastle Utd,30,1993,1,1,90,4,7,4,0,0,0,0,0,2.0,3,18,27,5,9,10,1,3,0,-2.0
Luca Gemello,it ITA,GK,Torino,23,2000,2,2,180,5,9,4,0,1,1,0,0,3.6,10,29,104,8,12,24,3,3,0,-1.4
Lucas Chevalier,fr FRA,GK,Lille,21,2001,40,40,3629,37,145,108,18,5,3,2,0,41.400000000000006,123,410,1250,146,161,447,36,41,2,4.400000000000003
Luka Gugeshashvili,ge GEO,GK,az Qarabağ,24,1999,1,0,6,1,1,0,0,1,1,0,0,1.0,0,5,2,0,3,0,0,0,0,0.0
Lukáš Hrádecký,fi FIN,GK,Leverkusen,33,1989,33,33,2970,24,102,78,15,0,0,0,0,27.5,71,202,736,165,145,313,27,39,0,3.5
Luís Maximiano,pt POR,GK,Almería,24,1999,33,33,2970,63,175,111,6,7,4,1,2,59.7,158,543,995,146,264,551,25,38,3,-3.299999999999997
